,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Total
26315,559928,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,7/14/11 8:52,1.65,12405.0,Finland,19.799999999999997
26316,559928,20981,12 PENCILS TALL TUBE WOODLAND,12,7/14/11 8:52,0.85,12405.0,Finland,10.2
28967,562274,21731,RED TOADSTOOL LED NIGHT LIGHT,12,8/4/11 10:00,1.65,12704.0,Finland,19.799999999999997
28968,562274,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,8/4/11 10:00,0.85,12704.0,Finland,10.2
29838,563020,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,48,8/11/11 12:58,0.42,12428.0,Finland,20.16
29839,563020,21500,PINK POLKADOT WRAP ,25,8/11/11 12:58,0.42,12428.0,Finland,10.5
29840,563020,22045,SPACEBOY GIFT WRAP,25,8/11/11 12:58,0.42,12428.0,Finland,10.5
29841,563020,16156S,WRAP PINK FAIRY CAKES ,25,8/11/11 12:58,0.42,12428.0,Finland,10.5
31425,564558,15056P,EDWARDIAN PARASOL PINK,3,8/26/11 8:59,5.95,12704.0,Finland,17.85
31426,564558,23322,LARGE WHITE HEART OF WICKER,12,8/26/11 8:59,2.95,12704.0,Finland,35.400000000000006
31427,564558,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,8/26/11 8:59,3.75,12704.0,Finland,15.0
31428,564558,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,8/26/11 8:59,0.95,12704.0,Finland,11.399999999999999
33970,566598,84997D,CHILDRENS CUTLERY POLKADOT PINK,36,9/13/11 15:35,4.15,12664.0,Finland,149.4
35625,567938,21990,MODERN FLORAL STATIONERY SET,12,9/22/11 18:14,1.25,12704.0,Finland,15.0
35965,568172,23077,DOUGHNUT LIP GLOSS ,120,9/25/11 13:13,1.25,12348.0,Finland,150.0
37712,569522,POST,POSTAGE,1,10/4/11 14:41,40.0,12664.0,Finland,40.0
39531,570875,22161,HEART DECORATION RUSTIC HANGING ,24,10/12/11 17:00,0.19,12667.0,Finland,4.5600000000000005
39532,570875,22982,PANTRY PASTRY BRUSH,12,10/12/11 17:00,1.25,12667.0,Finland,15.0
39533,570875,22138,BAKING SET 9 PIECE RETROSPOT ,6,10/12/11 17:00,4.95,12667.0,Finland,29.700000000000003
39656,571053,23029,DRAWER KNOB CRACKLE GLAZE GREEN,12,10/13/11 13:53,1.65,12631.0,Finland,19.799999999999997
42124,572964,23184,BULL DOG BOTTLE OPENER,4,10/27/11 10:41,4.95,12630.0,Finland,19.8
42125,572964,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,10/27/11 10:41,0.85,12630.0,Finland,10.2
43089,573588,22221,CAKE STAND LOVEBIRD 2 TIER PINK,2,10/31/11 15:01,9.95,12588.0,Finland,19.9
43874,574442,23458,DOLLY CABINET 3 DRAWERS ,2,11/4/11 11:40,14.95,12704.0,Finland,29.9
43875,574442,POST,POSTAGE,5,11/4/11 11:40,40.0,12704.0,Finland,200.0
50910,579281,20712,JUMBO BAG WOODLAND ANIMALS,20,11/29/11 10:36,2.08,12375.0,Finland,41.6
50911,579281,23200,JUMBO BAG PEARS,30,11/29/11 10:36,2.08,12375.0,Finland,62.400000000000006
50912,579281,21930,JUMBO STORAGE BAG SKULLS,10,11/29/11 10:36,2.08,12375.0,Finland,20.8
51362,579550,23373,VINTAGE CHRISTMAS PAPER GIFT BAG,10,11/30/11 10:48,0.82,12630.0,Finland,8.2
51363,579550,21154,RED RETROSPOT OVEN GLOVE ,10,11/30/11 10:48,1.25,12630.0,Finland,12.5
51364,579550,23096,PETIT TRAY CHIC,12,11/30/11 10:48,1.65,12630.0,Finland,19.799999999999997
